0,1,2,3,4,5,6,7,8,9,10,11,page,table_number,12,13,14
,,3311,SUKOHARJO,5,-,-,540,,5,137,,8,1,-,-,-
,,3312,WONOGIRI,2,-,-,285,,,,24,8,1,-,-,-
,,3313,KARANGANYAR,8,-,-,703,,17,20,30,8,1,-,-,-
,,3314,SRAGEN,14,5,-,46.012,1,,41,3.324,8,1,-,-,-
,,3315,GROBOGAN,12,4,1,174.878,65,362,182,32.585,8,1,-,-,-
,,3316,BLORA,5,-,-,625,1,7,12,79,8,1,-,-,-
,,3317,REMBANG,3,-,1,129,,,12,,8,1,-,-,1
,,3318,PATI,10,-,-,143.952,7,2,74,6.757,8,1,3,-,-
,,3319,KUDUS,4,8,-,47.563,,,10,10.888,8,1,-,-,-
"Kode
Wilayah
Provinsi",Nama Provinsi,"Kode
Wilayah
Kabupaten
/ Kota","Nama Kabupaten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,9,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,9,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,9,1,,,
,,,,,Jiwa,,,Unit,,,,9,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),9,1,(13),(14),(15)
,,3320,JEPARA,8,-,-,45.415,,14,208,4.094,9,1,-,-,-
,,3321,DEMAK,8,3,1,273.681,25,,56,66.105,9,1,1,-,-
,,3322,SEMARANG,7,-,2,1.321,,2,4,72,9,1,-,-,-
,,3323,TEMANGGUNG,6,2,1,3.418,2,11,42,36,9,1,-,-,-
,,3324,KENDAL,7,1,-,24.665,,1,15,10.855,9,1,-,1,-
,,3325,BATANG,1,-,14,1.190,13,30,230,,9,1,15,5,-
,,3326,PEKALONGAN,4,2,-,4.933,3,13,109,772,9,1,2,2,-
,,3327,PEMALANG,2,-,-,12.233,10,3,,1.272,9,1,-,-,-
,,3328,TEGAL,9,-,-,24.562,,14,128,2.224,9,1,203,1,1
,,3329,BREBES,9,-,-,104.462,85,49,76,23.304,9,1,-,1,-
,,3372,KOTA SURAKARTA,6,3,6,1.701,16,9,41,268,9,1,-,-,-
,,3374,KOTA SEMARANG,3,-,-,190.608,,,,48.349,9,1,-,-,-
,,3375,KOTA PEKALONGAN,5,-,-,33.802,,,2.217,2.667,9,1,-,-,-
,,3376,KOTA TEGAL,7,-,-,23.883,,3,7,4.147,9,1,1,-,-
